GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
audio-manager,se.iths,AudioManager,19,0,0,0,7,0,4,0,4,0
audio-manager,se.iths,VolumeUtil,0,14,0,2,0,5,0,3,0,2
audio-manager,se.iths,RINGER_MODE,0,24,0,0,0,2,0,1,0,1
