GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
computer-calculator,se.iths,Computer,0,39,0,5,0,9,0,6,0,2
computer-calculator,se.iths,Calculator,19,0,0,0,5,0,5,0,5,0
